adres,postcode,type,m2,kamers,prijs,prijstype
Nieuwe Binnenweg 46 Irechts,"3015 BA,  Rotterdam",Appartement,73 m²,3 kamers,€ 285.000 k.k.,k.k.
Rolklaver 63,"3069 DH,  Rotterdam",Woning,94 m²,5 kamers,€ 300.000 k.k.,k.k.
Jonas Salkhof 7,"3045 BM,  Rotterdam",Woning,129 m²,5 kamers,€ 550.000 k.k.,k.k.
Maasboulevard 136,"3011 TX,  Rotterdam",Appartement,133 m²,4 kamers,€ 499.000 k.k.,k.k.
Alkmaardermeer 1 3,"3068 KL,  Rotterdam",Geschakelde woning,174 m²,7 kamers,€ 475.000 k.k.,k.k.
Donkerslootstraat 50 B,"3074 WL,  Rotterdam",Dubbele bovenwoning,95 m²,4 kamers,€ 159.500 k.k.,k.k.
Katendrechtsestraat 316,"3072 NX,  Rotterdam",Woning,98 m²,3 kamers,€ 315.000 k.k.,k.k.
Bentinckplein 51,"3039 KM,  Rotterdam",Appartement,95 m²,3 kamers,€ 275.000 k.k.,k.k.
Dr de Visserstraat 78 B,"3038 TX,  Rotterdam",Woning,52 m²,2 kamers,€ 175.000 k.k.,k.k.
Van Beethovensingel 59,"3055 JG,  Rotterdam",Appartement,77 m²,3 kamers,€ 250.000 k.k.,k.k.
Spechtstraat 23 Ab,"3082 MA,  Rotterdam",Benedenwoning,167 m²,6 kamers,€ 325.000 k.k.,k.k.
Wateroord 20,"3079 NS,  Rotterdam",Eengezinswoning,108 m²,5 kamers,€ 260.000 k.k.,k.k.
Mijnsherenlaan 54 D,"3081 CC,  Rotterdam",Appartement,88 m²,4 kamers,€ 175.000 k.k.,k.k.
Hugo Molenaarstraat 11,"3022 NM,  Rotterdam",Tussenwoning,267 m²,6 kamers,€ 800.000 k.k.,k.k.
Argonautenweg 3 N,"3054 RP,  Rotterdam",Appartement,97 m²,3 kamers,€ 425.000 k.k.,k.k.
Heiligerleelaan 4,"3051 JK,  Rotterdam",Hoekwoning,125 m²,6 kamers,€ 575.000 k.k.,k.k.
Dirk Wittestraat 19,"3034 WE,  Rotterdam",Benedenwoning,90 m²,4 kamers,€ 225.000 k.k.,k.k.
Adrien Mildersstraat 96 A 01,"3022 NL,  Rotterdam",Bovenwoning,115 m²,3 kamers,€ 389.000 k.k.,k.k.
Louise de Colignylaan 404,"3062 HN,  Rotterdam",Villa,156 m²,5 kamers,€ 530.000 k.k.,k.k.
Kortekade 126 Cd,"3062 GZ,  Rotterdam",Tussenwoning,141 m²,6 kamers,€ 600.000 k.k.,k.k.
Schalkeroord 385,"3079 WH,  Rotterdam",Appartement,83 m²,4 kamers,€ 169.500 k.k.,k.k.
Cargadoorskade 61,"3071 AW,  Rotterdam",Appartement,91 m²,3 kamers,€ 350.000 k.k.,k.k.
Het Verborgen Geheim Fase 5 162, Rotterdam,Woning,121 m²,4 kamers,€ 295.000 v.o.n.,v.o.n.
Statenweg 164 A,"3039 JP,  Rotterdam",Woning,115 m²,5 kamers,€ 425.000 k.k.,k.k.
Waterloostraat 48 C,"3062 TR,  Rotterdam",Appartement,85 m²,4 kamers,€ 269.000 k.k.,k.k.
Jericholaan 54 A,"3061 HH,  Rotterdam",Appartement,142 m²,3 kamers,€ 475.000 k.k.,k.k.
Brittenoord 40,"3079 KB,  Rotterdam",Eengezinswoning,127 m²,6 kamers,€ 200.000 k.k.,k.k.
Max Woiskistraat 24,"3069 ZN,  Rotterdam",Eengezinswoning,125 m²,5 kamers,€ 315.000 k.k.,k.k.
Bergsingel 102 B,"3037 GK,  Rotterdam",Woning,155 m²,4 kamers,€ 575.000 k.k.,k.k.
Oaseplein 14,"3025 NM,  Rotterdam",Woning,148 m²,5 kamers,€ 450.000 k.k.,k.k.
Claes de Vrieselaan 241,"3021 JM,  Rotterdam",Woning,77 m²,3 kamers,€ 250.000 k.k.,k.k.
Heemraadssingel 182 A,"3021 DM,  Rotterdam",Appartement,67 m²,4 kamers,€ 249.000 k.k.,k.k.
Laan Op Zuid 294,"3071 AA,  Rotterdam",Penthouse,122 m²,5 kamers,€ 475.000 k.k.,k.k.
Breitnersingel 48,"3055 BD,  Rotterdam",NA,162 m²,4 kamers,€ 799.000 k.k.,k.k.
Gerrit Sterkmanplein 6,"3014 RS,  Rotterdam",Appartement,70 m²,3 kamers,€ 249.500 ,
Blommersdijkselaan 34 B,"3036 ND,  Rotterdam",Benedenwoning,120 m²,4 kamers,€ 425.000 k.k.,k.k.
Elektroweg 148,"3051 ND,  Rotterdam",Appartement,76 m²,3 kamers,€ 239.500 k.k.,k.k.
Noorderhavenkade 21 Cii,"3039 RD,  Rotterdam",Woning,79 m²,4 kamers,€ 239.000 k.k.,k.k.
Spoorsingel 157,"3033 GJ,  Rotterdam",Woning,63 m²,3 kamers,€ 235.000 k.k.,k.k.
Rochussenstraat 449,"3023 DL,  Rotterdam",Appartement,108 m²,2 kamers,€ 329.000 k.k.,k.k.
Dresselhuysstraat 5 B,"3039 ZH,  Rotterdam",Appartement,69 m²,3 kamers,€ 225.000 k.k.,k.k.
Hoogstraat 127 E,"3011 PL,  Rotterdam",Appartement,90 m²,3 kamers,€ 410.000 k.k.,k.k.
Bas Jungeriusstraat 168 B 01,"3081 VN,  Rotterdam",Appartement,77 m²,2 kamers,€ 175.000 k.k.,k.k.
Rochussenstraat 131 E,"3015 EJ,  Rotterdam",Appartement,112 m²,4 kamers,€ 375.000 k.k.,k.k.
Goudsesingel 462,"3011 KP,  Rotterdam",Hoekwoning,94 m²,4 kamers,€ 350.000 k.k.,k.k.
Moliereweg 653,"3076 GE,  Rotterdam",Appartement,69 m²,3 kamers,€ 110.000 k.k.,k.k.
Boezemsingel 137,"3031 CA,  Rotterdam",Appartement,77 m²,3 kamers,€ 240.000 ,
Molenlaan 270,"3055 GM,  Rotterdam",Tussenwoning,138 m²,6 kamers,€ 595.000 k.k.,k.k.
Burgemeester Le Fevre de Montignylaan 132,"3055 NG,  Rotterdam",Hoekwoning,134 m²,5 kamers,€ 750.000 k.k.,k.k.
Wijnhaven 65 C 12,"3011 WJ,  Rotterdam",Penthouse,135 m²,4 kamers,€ 759.000 v.o.n.,v.o.n.
Wijnhaven 65 C 32,"3011 WJ,  Rotterdam",Penthouse,136 m²,4 kamers,€ 922.000 v.o.n.,v.o.n.
Wijnhaven 65 B 23,"3011 WJ,  Rotterdam",Penthouse,122 m²,3 kamers,€ 665.000 v.o.n.,v.o.n.
Paasweide 28,"3075 DZ,  Rotterdam",Tussenwoning,106 m²,5 kamers,€ 235.000 k.k.,k.k.
Vignolastraat 174,"3066 BR,  Rotterdam",Herenhuis,136 m²,4 kamers,€ 400.000 k.k.,k.k.
Santorinihof 8,"3059 XN,  Rotterdam",Tussenwoning,179 m²,5 kamers,€ 525.000 k.k.,k.k.
"Hoevenplein, van der 146","3072 MK,  Rotterdam",Appartement,103 m²,3 kamers,€ 595.000 k.k.,k.k.
Bergstraat 74 A,"3035 TG,  Rotterdam",Appartement,72 m²,3 kamers,€ 235.000 k.k.,k.k.
Jacob Loisstraat 114,"3033 RG,  Rotterdam",Appartement,85 m²,4 kamers,€ 265.000 k.k.,k.k.
Molenlaan 44,"3055 EM,  Rotterdam",Woning,116 m²,5 kamers,€ 569.500 k.k.,k.k.
Beekweg 175,"3045 PA,  Rotterdam",Vrijstaande woning,317 m²,9 kamers,€ 1.225.000 k.k.,k.k.
Nolensstraat 5 B,"3039 PK,  Rotterdam",Woning,103 m²,6 kamers,€ 275.000 k.k.,k.k.
Hendrick Sorchstraat 93,"3021 VC,  Rotterdam",Appartement,59 m²,2 kamers,€ 189.000 k.k.,k.k.
Talingstraat 147 A,"3082 MG,  Rotterdam",Woning,55 m²,2 kamers,€ 159.500 k.k.,k.k.
Elsbes 34,"3069 LN,  Rotterdam",Tussenwoning,127 m²,5 kamers,€ 315.000 k.k.,k.k.
Bleiswijkstraat 59,"3035 TK,  Rotterdam",Benedenwoning,76 m²,3 kamers,€ 235.000 k.k.,k.k.
Madeliefstraat 43 A,"3083 TC,  Rotterdam",Benedenwoning,67 m²,4 kamers,€ 150.000 k.k.,k.k.
Toulondreef 25,"3067 WK,  Rotterdam",Appartement,110 m²,5 kamers,€ 195.000 k.k.,k.k.
Groen van Prinstererstraat 17 A Ii,"3038 RA,  Rotterdam",Bovenwoning,79 m²,2 kamers,€ 200.000 k.k.,k.k.
Bergweg 57 C,"3037 EB,  Rotterdam",Bovenwoning,118 m²,4 kamers,€ 199.500 k.k.,k.k.
Stichtseplein 8 Ab,"3074 TN,  Rotterdam",Tussenwoning,130 m²,4 kamers,€ 249.500 k.k.,k.k.
Prins Mauritssingel 91 A,"3043 PD,  Rotterdam",Bovenwoning,123 m²,4 kamers,€ 225.000 k.k.,k.k.
Stuart Millstraat 20,"3076 RM,  Rotterdam",Appartement,62 m²,3 kamers,€ 169.000 k.k.,k.k.
Beukendaal 52,"3075 LG,  Rotterdam",Tussenwoning,110 m²,5 kamers,€ 275.000 k.k.,k.k.
Middelrode 91,"3085 CM,  Rotterdam",Appartement,70 m²,3 kamers,€ 165.000 k.k.,k.k.
Stellendamstraat 83 B,"3086 ZH,  Rotterdam",Appartement,55 m²,3 kamers,€ 145.000 k.k.,k.k.
Hemingwayplaats 58,"3068 WN,  Rotterdam",Appartement,85 m²,3 kamers,€ 195.000 k.k.,k.k.
Bergsingel 33 D,"3037 GA,  Rotterdam",Appartement,131 m²,4 kamers,€ 365.000 k.k.,k.k.
Kadoelermeer 81,"3068 KE,  Rotterdam",Eengezinswoning,122 m²,5 kamers,€ 219.500 k.k.,k.k.
Berberisweg 308,"3053 PJ,  Rotterdam",Appartement,130 m²,3 kamers,€ 399.500 k.k.,k.k.
Mullerkade 235,"3024 EP,  Rotterdam",Appartement,105 m²,3 kamers,€ 399.000 k.k.,k.k.
Oosteinde 12,"3061 SP,  Rotterdam",Appartement,70 m²,3 kamers,€ 265.000 k.k.,k.k.
De Savornin Lohmanlaan 70 A,"3038 NM,  Rotterdam",Benedenwoning,62 m²,3 kamers,€ 275.000 k.k.,k.k.
Laan Op Zuid 844,"3071 AB,  Rotterdam",Appartement,105 m²,4 kamers,€ 325.000 k.k.,k.k.
Smetanalaan 33,"3055 TL,  Rotterdam",Hoekwoning,160 m²,5 kamers,€ 625.000 k.k.,k.k.
Theo Laseromsstraat 1,"3056 PE,  Rotterdam",Watertoren,172 m²,6 kamers,€ 575.000 k.k.,k.k.
Rijnhavenkade Ong,"3072 JS,  Rotterdam",Appartement,157 m²,3 kamers,€ 1.004.000 v.o.n.,v.o.n.
Binkhorst 56,"3085 VA,  Rotterdam",Tussenwoning,131 m²,5 kamers,€ 325.000 k.k.,k.k.
Zuidhoek 272 A,"3082 PT,  Rotterdam",Bovenwoning,142 m²,5 kamers,€ 225.000 k.k.,k.k.
Van der Meydestraat 30 B,"3039 TJ,  Rotterdam",Woning,127 m²,4 kamers,€ 335.000 k.k.,k.k.
Grebbe 7,"3068 GK,  Rotterdam",Eengezinswoning,85 m²,4 kamers,€ 185.000 k.k.,k.k.
Schans 18,"3025 VJ,  Rotterdam",Tussenwoning,128 m²,5 kamers,€ 339.000 k.k.,k.k.
Insulindeplein 16,"3038 JW,  Rotterdam",Appartement,104 m²,4 kamers,€ 299.000 k.k.,k.k.
Nieuwe Crooswijkseweg 42 A,"3034 PR,  Rotterdam",Appartement,145 m²,4 kamers,€ 550.000 k.k.,k.k.
Hillevliet 136 B,"3074 KE,  Rotterdam",Bovenwoning,160 m²,5 kamers,€ 275.000 k.k.,k.k.
Dalenoord 63,"3079 ZA,  Rotterdam",Eengezinswoning,125 m²,5 kamers,€ 248.800 k.k.,k.k.
Zwijnsbergenweg 45,"3077 PV,  Rotterdam",Eengezinswoning,101 m²,5 kamers,€ 199.500 k.k.,k.k.
Henk Bruintjesstraat 2,"3059 TL,  Rotterdam",Herenhuis,168 m²,5 kamers,€ 549.000 k.k.,k.k.
Cornelia Wilbrenninckstraat 11,"3066 HC,  Rotterdam",Tussenwoning,110 m²,4 kamers,€ 339.500 k.k.,k.k.
Vissersdijk 181,"3011 GW,  Rotterdam",Appartement,106 m²,3 kamers,€ 485.000 k.k.,k.k.
Waterloostraat 22 A,"3062 TP,  Rotterdam",Appartement,95 m²,3 kamers,€ 350.000 k.k.,k.k.
Willebrordusstraat 128 C,"3037 TX,  Rotterdam",Bovenwoning,125 m²,4 kamers,€ 365.000 k.k.,k.k.
Cypruslaan 125,"3059 XA,  Rotterdam",Kamer,56 m²,2 kamers,€ 219.000 k.k.,k.k.
Mathenesserweg 44 A 2,"3026 HC,  Rotterdam",Appartement,119 m²,5 kamers,€ 275.000 k.k.,k.k.
Den Hertigstraat 14 A,"3081 KC,  Rotterdam",Appartement,115 m²,5 kamers,€ 249.500 k.k.,k.k.
Djeddalaan 154,"3067 MT,  Rotterdam",NA,92 m²,5 kamers,€ 215.000 k.k.,k.k.
Jacques Dutilhweg 747,"3065 JH,  Rotterdam",NA,98 m²,5 kamers,€ 289.000 k.k.,k.k.
Oosterkade 79,"3011 TV,  Rotterdam",Appartement,172 m²,3 kamers,€ 850.000 k.k.,k.k.
Fleringenstraat 39,"3077 HE,  Rotterdam",Appartement,71 m²,3 kamers,€ 120.000 k.k.,k.k.
Zoutziedersstraat 19,"3026 EG,  Rotterdam",Tussenwoning,133 m²,5 kamers,€ 299.000 k.k.,k.k.
Nieuwe Binnenweg 64 Ii R,"3015 BB,  Rotterdam",Appartement,75 m²,3 kamers,€ 275.000 k.k.,k.k.
Honingerdijk 119a 2,"3063 AM,  Rotterdam",Dubbele bovenwoning,125 m²,5 kamers,€ 350.000 k.k.,k.k.
Bovenover 9,"3062 CC,  Rotterdam",Woning,160 m²,4 kamers,€ 1.000.000 k.k.,k.k.
Mijnsherenlaan 58 A,"3081 CD,  Rotterdam",Benedenwoning,62 m²,3 kamers,€ 125.000 k.k.,k.k.
Mathenesserweg 181 C,"3027 HS,  Rotterdam",Hoekwoning,97 m²,4 kamers,€ 225.000 k.k.,k.k.
Van Cittersstraat 20 A,"3022 LK,  Rotterdam",NA,55 m²,5 kamers,€ 219.000 k.k.,k.k.
Bredevoorde 108,"3085 TD,  Rotterdam",Appartement,57 m²,3 kamers,€ 135.000 k.k.,k.k.
Multatulistraat 60,"3027 JT,  Rotterdam",Benedenwoning,109 m²,4 kamers,€ 275.000 k.k.,k.k.
Amelandseplein 7 A,"3083 SB,  Rotterdam",Dubbele bovenwoning,111 m²,5 kamers,€ 195.000 k.k.,k.k.
Houtlaan 32 B,"3016 DA,  Rotterdam",Appartement,86 m²,3 kamers,€ 425.000 k.k.,k.k.
Keyenburg 46 A,"3085 KA,  Rotterdam",Appartement,101 m²,4 kamers,€ 274.500 ,
Zanglijsterstraat 161,"3084 NT,  Rotterdam",Appartement,84 m²,3 kamers,€ 215.000 k.k.,k.k.
Rochussenstraat 51 A,"3015 EC,  Rotterdam",NA,151 m²,5 kamers,€ 540.000 k.k.,k.k.
Noordsingel 131 C,"3035 EN,  Rotterdam",Appartement,108 m²,4 kamers,€ 270.000 k.k.,k.k.
Terbregseweg 65 A,"3056 JT,  Rotterdam",Tussenwoning,122 m²,6 kamers,€ 400.000 k.k.,k.k.
G.w. Burgerplein 15,"3021 AT,  Rotterdam",Twee onder één kap,273 m²,11 kamers,€ 998.000 k.k.,k.k.
Doctor Hekmanstraat 66,"3037 SJ,  Rotterdam",Vrijstaande woning,86 m²,4 kamers,€ 299.500 ,
Wessel Gansfortweg 25,"3052 KM,  Rotterdam",Tussenwoning,113 m²,5 kamers,€ 350.000 k.k.,k.k.
Bentinckplein 50,"3039 KM,  Rotterdam",Appartement,92 m²,3 kamers,€ 250.000 k.k.,k.k.
Schieweg 244 C 3,"3038 BR,  Rotterdam",Appartement,100 m²,5 kamers,€ 229.000 k.k.,k.k.
Hommelstraat 4bii,"3061 VB,  Rotterdam",Appartement,79 m²,5 kamers,€ 269.000 k.k.,k.k.
Argonautenweg 11 F,"3054 RP,  Rotterdam",NA,106 m²,5 kamers,€ 499.000 k.k.,k.k.
Stadhoudersplein 12 A,"3039 EM,  Rotterdam",Vrijstaande woning,115 m²,4 kamers,€ 365.000 k.k.,k.k.
Molenlaan 220,"3055 GK,  Rotterdam",NA,150 m²,6 kamers,€ 575.000 k.k.,k.k.
Lisstraat 43 A,"3037 RC,  Rotterdam",Woning,131 m²,4 kamers,€ 335.000 k.k.,k.k.
Prinses Margrietlaan 93 B,"3051 AS,  Rotterdam",Appartement,111 m²,5 kamers,€ 375.000 k.k.,k.k.
Hillevliet 130 A,"3074 KD,  Rotterdam",Appartement,98 m²,4 kamers,€ 175.000 k.k.,k.k.
Mathenesserdijk 314 Bi,"3026 GR,  Rotterdam",Woning,99 m²,3 kamers,€ 269.500 k.k.,k.k.
Bergstraat 20 B,"3035 TD,  Rotterdam",Appartement,78 m²,3 kamers,€ 230.000 k.k.,k.k.
Pisuissestraat 18,"3034 WK,  Rotterdam",Appartement,120 m²,5 kamers,€ 265.000 k.k.,k.k.
Mathenesserweg 91 A,"3027 HK,  Rotterdam",Dubbele bovenwoning,137 m²,6 kamers,€ 295.000 k.k.,k.k.
Librijesteeg 105,"3011 HN,  Rotterdam",Appartement,106 m²,3 kamers,€ 450.000 k.k.,k.k.
Weena 837,"3013 AL,  Rotterdam",Appartement,89 m²,3 kamers,€ 275.000 k.k.,k.k.
Volmarijnstraat 51,"3021 XJ,  Rotterdam",Woning,141 m²,5 kamers,€ 450.000 k.k.,k.k.
Edmond Hellenraadstraat 116,"3067 NT,  Rotterdam",Appartement,88 m²,4 kamers,€ 189.500 ,
Buitenbassinweg 540,"3063 TC,  Rotterdam",Appartement,113 m²,3 kamers,€ 495.000 k.k.,k.k.
Tallinnpad 25,"3067 RX,  Rotterdam",Eengezinswoning,126 m²,5 kamers,€ 325.000 k.k.,k.k.
Mia van Ijperenplein 23,"3065 JK,  Rotterdam",NA,90 m²,6 kamers,€ 309.500 k.k.,k.k.
Kruisplein 706,"3012 CC,  Rotterdam",Appartement,101 m²,3 kamers,€ 575.000 k.k.,k.k.
Beijerlandselaan 7 A en 9 A,"3074 EJ,  Rotterdam",NA,490 m²,NA,€ 595.000 k.k.,k.k.
Rijnhavenkade Ong,"3072 JS,  Rotterdam",Appartement,354 m²,4 kamers,€ 2.658.000 v.o.n.,v.o.n.
Botersloot 347,"3011 HE,  Rotterdam",Appartement,93 m²,3 kamers,€ 439.000 k.k.,k.k.
Noorwitsstraat 59,"3067 KP,  Rotterdam",Eengezinswoning,120 m²,5 kamers,€ 255.000 k.k.,k.k.
Berkelselaan 80 B Ii,"3037 PJ,  Rotterdam",Dubbele bovenwoning,125 m²,4 kamers,€ 395.000 k.k.,k.k.
Zwaluwstraat 5 B,"3082 MK,  Rotterdam",Bovenwoning,130 m²,5 kamers,€ 199.000 k.k.,k.k.
Laan van Magisch Realisme 147,"3059 VJ,  Rotterdam",Hoekwoning,158 m²,5 kamers,€ 429.000 k.k.,k.k.
Schieweg 102 B,"3038 BC,  Rotterdam",Bovenwoning,66 m²,2 kamers,€ 175.000 k.k.,k.k.
Wildbaan 55,"3075 DN,  Rotterdam",Eengezinswoning,66 m²,3 kamers,€ 179.000 k.k.,k.k.
Ringvaartweg 193,"3065 AC,  Rotterdam",Vrijstaande woning,493 m²,10 kamers,€ 4.700.000 k.k.,k.k.
1e Jerichostraat 35 C,"3061 GC,  Rotterdam",Appartement,83 m²,3 kamers,€ 275.000 k.k.,k.k.
Prometheusstraat 14,"3054 WD,  Rotterdam",Hoekwoning,103 m²,4 kamers,€ 389.500 k.k.,k.k.
Baarschootsekreek 4 L,"3079 SJ,  Rotterdam",Appartement,90 m²,3 kamers,€ 239.500 k.k.,k.k.
Platostraat 232,"3076 BR,  Rotterdam",Appartement,55 m²,3 kamers,€ 125.000 k.k.,k.k.
Bergselaan 233 B,"3038 CB,  Rotterdam",Appartement,77 m²,2 kamers,€ 250.000 k.k.,k.k.
Bas Jungeriusstraat 228 B 2,"3081 VR,  Rotterdam",Dubbele bovenwoning,90 m²,3 kamers,€ 175.000 k.k.,k.k.
Ambachtsplein 47,"3068 GV,  Rotterdam",Appartement,86 m²,4 kamers,€ 169.000 k.k.,k.k.
Laan van Avant-garde 309,"3059 RA,  Rotterdam",Woning,85 m²,3 kamers,€ 275.000 k.k.,k.k.
Botersloot 483,"3011 HE,  Rotterdam",Appartement,106 m²,3 kamers,Prijs op aanvraag ,
Crooswijksestraat 132,"3034 AR,  Rotterdam",Appartement,72 m²,3 kamers,€ 235.000 ,
Librijesteeg 227,"3011 HN,  Rotterdam",Appartement,96 m²,2 kamers,€ 425.000 k.k.,k.k.
Parallelweg 72,"3072 KN,  Rotterdam",Tussenwoning,136 m²,5 kamers,€ 425.000 k.k.,k.k.
Eijkmanhof 35,"3045 BH,  Rotterdam",Tussenwoning,125 m²,6 kamers,€ 490.000 k.k.,k.k.
M.c. Grimberg-huijserstraat 55,"3066 JD,  Rotterdam",Herenhuis,135 m²,4 kamers,€ 385.000 k.k.,k.k.
Pasteursingel 27 C,"3028 EH,  Rotterdam",Appartement,55 m²,2 kamers,€ 136.500 k.k.,k.k.
Korhaanstraat 121 C,"3083 XL,  Rotterdam",Appartement,75 m²,4 kamers,€ 147.500 k.k.,k.k.
Igor Stravinskisingel 28,"3069 MA,  Rotterdam",Tussenwoning,118 m²,4 kamers,€ 265.000 k.k.,k.k.
Eijkmanhof 11,"3045 BH,  Rotterdam",Tussenwoning,125 m²,5 kamers,€ 485.000 k.k.,k.k.
Schildmeer 121,"3068 KV,  Rotterdam",Tussenwoning,114 m²,5 kamers,€ 245.000 k.k.,k.k.
Ringvaartweg 227,"3065 AD,  Rotterdam",Villa,450 m²,8 kamers,€ 3.495.000 k.k.,k.k.
Piet Smitkade 368,"3077 MJ,  Rotterdam",Appartement,115 m²,4 kamers,€ 350.000 k.k.,k.k.
Schoonegge 293,"3085 CW,  Rotterdam",Appartement,96 m²,4 kamers,€ 173.800 k.k.,k.k.
Molenvliet 101,"3076 CJ,  Rotterdam",Appartement,72 m²,4 kamers,€ 125.000 k.k.,k.k.
Quadenoord 101,"3079 XC,  Rotterdam",Appartement,70 m²,3 kamers,€ 149.900 k.k.,k.k.
Rijnhavenkade 0,"3072 JS,  Rotterdam",Appartement,354 m²,4 kamers,€ 2.658.000 v.o.n.,v.o.n.
Rijnhavenkade 42,"3072 JS,  Rotterdam",Appartement,98 m²,3 kamers,€ 544.000 v.o.n.,v.o.n.
Binnenrotte 139,"3011 HB,  Rotterdam",NA,124 m²,2 kamers,€ 639.000 k.k.,k.k.
Rijnhavenkade 118,"3072 JS,  Rotterdam",Penthouse,240 m²,4 kamers,€ 1.514.000 v.o.n.,v.o.n.
Wilhelminakade 225,"3072 AP,  Rotterdam",Appartement,146 m²,4 kamers,€ 950.000 k.k.,k.k.
Henegouwerlaan 106 A 2,"3014 CG,  Rotterdam",Bovenwoning,142 m²,6 kamers,€ 459.500 k.k.,k.k.
Statenweg 1 A,"3039 HA,  Rotterdam",Benedenwoning,76 m²,3 kamers,€ 325.000 k.k.,k.k.
Heemraadssingel 125 B,"3022 CC,  Rotterdam",Appartement,111 m²,NA,€ 400.000 k.k.,k.k.
West-varkenoordseweg 213 B,"3074 HT,  Rotterdam",Benedenwoning,52 m²,3 kamers,€ 165.000 k.k.,k.k.
Moordrechtstraat 23,"3089 TJ,  Rotterdam",Geschakelde woning,121 m²,5 kamers,€ 287.000 v.o.n.,v.o.n.
Moordrechtstraat 23,"3089 TJ,  Rotterdam",Geschakelde woning,121 m²,5 kamers,€ 287.000 v.o.n.,v.o.n.
Zernikeplaats 278,"3068 ZR,  Rotterdam",Woning,90 m²,4 kamers,€ 195.000 ,
Folkert Elsingastraat 47,"3067 NW,  Rotterdam",Hoekwoning,260 m²,7 kamers,€ 795.000 ,
Rhijnauwensingel 77,"3077 VB,  Rotterdam",Woning,115 m²,6 kamers,€ 199.500 ,
Karel Doormanstraat 388 C,"3012 GR,  Rotterdam",Woning,93 m²,3 kamers,€ 475.000 ,
Willemsplein 509,"3016 DR,  Rotterdam",Hoekwoning,185 m²,4 kamers,€ 925.000 ,
Griendwerkerstraat 36,"3068 GZ,  Rotterdam",Appartement,100 m²,4 kamers,€ 200.000 k.k.,k.k.
Pleinweg 102 B,"3083 EL,  Rotterdam",Appartement,92 m²,4 kamers,€ 175.000 k.k.,k.k.
Bulgersteyn 7293,"3011 AB,  Rotterdam",Woning,96 m²,3 kamers,€ 475.000 k.k.,k.k.
Schalkeroord 16,"3079 WJ,  Rotterdam",Woning,65 m²,3 kamers,€ 125.000 k.k.,k.k.
Van der Takstraat 73,"3071 LK,  Rotterdam",Woning,207 m²,8 kamers,€ 750.000 k.k.,k.k.
Parallelweg 70,"3072 KN,  Rotterdam",Tussenwoning,127 m²,5 kamers,€ 415.000 k.k.,k.k.
Kralingse Plaslaan 48,"3061 BA,  Rotterdam",Appartement,85 m²,2 kamers,€ 325.000 k.k.,k.k.
Keyenburg 15 B,"3085 KA,  Rotterdam",Tussenwoning,100 m²,5 kamers,€ 290.000 k.k.,k.k.
Wevershoekstraat 27 C,"3081 PA,  Rotterdam",Maisonette,105 m²,4 kamers,€ 159.000 k.k.,k.k.
Korendijk 97,"3079 PW,  Rotterdam",Appartement,88 m²,3 kamers,€ 225.000 k.k.,k.k.
Schapendreef 283,"3034 ZL,  Rotterdam",Appartement,73 m²,3 kamers,€ 230.000 k.k.,k.k.
Jacob Loisstraat 38,"3033 RG,  Rotterdam",Appartement,71 m²,3 kamers,€ 250.000 k.k.,k.k.
Wierdsmaplein 13,"3072 MJ,  Rotterdam",Appartement,80 m²,2 kamers,€ 365.000 k.k.,k.k.
Flakkeesestraat 111 C,"3083 CE,  Rotterdam",Maisonette,78 m²,3 kamers,€ 147.500 k.k.,k.k.
Van Heukelomstraat 295,"3067 PG,  Rotterdam",Appartement,90 m²,4 kamers,€ 285.000 k.k.,k.k.
Klaprooslaan 173,"3053 DM,  Rotterdam",Eengezinswoning,125 m²,6 kamers,€ 375.000 k.k.,k.k.
Marie van Eijsden-vinkstraat 481,"3066 HG,  Rotterdam",Penthouse,180 m²,4 kamers,€ 848.000 k.k.,k.k.
Rijnhavenkade 104,"3072 JS,  Rotterdam",Appartement,161 m²,3 kamers,€ 941.000 v.o.n.,v.o.n.
Dillenburgstraat 20,"3071 HB,  Rotterdam",Appartement,115 m²,4 kamers,€ 390.000 k.k.,k.k.
Stadhoudersweg 89 D,"3039 EB,  Rotterdam",Appartement,106 m²,3 kamers,€ 350.000 k.k.,k.k.
Maximiliaanstraat 26 A,"3082 EC,  Rotterdam",Woning,88 m²,4 kamers,€ 215.000 k.k.,k.k.
Oude Kleiweg 25,"3043 LD,  Rotterdam",Tussenwoning,100 m²,3 kamers,€ 345.000 k.k.,k.k.
"Havenkwartier-katendrecht, Rotterdam 009", Rotterdam,Woning,219 m²,7 kamers,€ 834.500 v.o.n.,v.o.n.
Kerstant van den Bergela 80 A,"3054 EV,  Rotterdam",Benedenwoning,115 m²,4 kamers,€ 375.000 k.k.,k.k.
Dosiostraat 121,"3066 NB,  Rotterdam",NA,110 m²,4 kamers,€ 325.000 k.k.,k.k.
Oostzeedijk Beneden 31 D,"3062 VK,  Rotterdam",Woning,90 m²,4 kamers,€ 675.000 k.k.,k.k.
Oostzeedijk Beneden 31 C,"3062 VK,  Rotterdam",Woning,90 m²,4 kamers,€ 675.000 k.k.,k.k.
Van der Vlugtstraat 20,"3067 TK,  Rotterdam",Hoekwoning,120 m²,6 kamers,€ 335.000 k.k.,k.k.
Schiedamseweg 138 B,"3025 AJ,  Rotterdam",Landhuis,65 m²,4 kamers,€ 139.000 k.k.,k.k.
